“,1470
”,1417
️,1291
💉,565
👇,499
🇷,461
🇪,433
🇺,414
🔴,381
🏻,379
👉,309
‍,309
👏,276
🇻,264
😂,233
🇦,224
🇨,222
⏩,214
🏼,206
—,201
📰,197
🗞,192
🇸,174
’,160
🤦,155
🤔,149
🙏,145
🤣,143
🇲,141
♂,138
⃣,135
⁦,130
♀,128
🇽,124
🏽,124
➡,124
🙄,119
𝐨,119
⁩,116
🤷,113
✨,109
📢,105
😷,101
🇧,98
✌,97
🤡,97
‼,93
🚨,93
✔,91
–,91
💪,90
€,80
🦠,79
и,79
🧵,78
😡,77
🇵,74
⚠,73
е,73
•,71
🇱,71
🇳,70
⬇,67
‘,67
о,67
🇬,64
❤,61
📹,60
⛔,60
✅,59
░,58
𝐀,58
𝐥,58
𝐢,58
…,54
𝐬,54
𝐃,54
𝐣,54
с,54
😍,53
✍,51
✈,50
🤝,47
🇴,47
🏾,46
📸,45
р,45
т,45
🧐,44
🤬,44
⭕,42
🇮,42
🙌,40
😭,39
►,39
📌,39
▶,38
❌,38
а,38
😉,35
😱,35
🥰,34
ー,34
👍,33
😳,32
🔥,32
🇩,32
👊,30
😒,30
😎,29
н,29
🇾,28
у,28
🎙,27
😏,27
❗,27
🏿,27
🗣,27
д,27
🛑,26
🌸,26
🤭,25
☝,25
🕯,25
🥺,25
🌎,25
🔗,24
😁,24
п,24
в,24
🇹,23
💥,22
📺,22
⚡,22
м,22
😔,21
👀,21
к,21
😌,20
л,20
🤯,19
👌,19
♥,19
🥳,19
😅,19
👵,19
🧑,18
👨,18
𝐚,18
я,18
✊,16
🌍,16
🔵,16
⤵,16
👩,16
ч,16
😊,15
💣,15
ы,15
й,15
😄,15
📍,14
😠,14
🟢,14
📣,14
🤨,14
⚕,14
🇭,14
🔁,14
🔬,14
б,14
🙋,14
🤗,13
🎥,13
🥴,12
🤮,12
🕊,12
ᵉ,12
⏬,12
🙈,11
☠,11
👁,11
💙,11
🏫,11
🔺,11
ю,11
з,11
▪,10
🤩,10
🧒,10
🤫,10
💩,10
💰,10
г,10
￣,10
＿,10
☑,9
😃,9
😪,9
🙃,9
😢,9
🗳,9
💔,9
✋,9
🩺,9
🌹,9
🤢,9
⁉,9
🤪,9
🙂,9
🇰,9
🆘,9
💚,9
💛,9
🖐,8
😀,8
😰,8
𝗻,8
📞,8
📄,8
➕,8
🙅,8
ш,8
ь,8
ℹ,7
🛬,7
📽,7
📲,7
🛫,7
💬,7
😓,7
🔹,7
🐶,7
𝗮,7
👴,7
⬆,7
🇫,7
🤐,7
😘,7
🗨,7
🚫,7
🍀,7
😯,7
🔸,6
🔘,6
😈,6
😲,6
𝗶,6
𝗼,6
😬,6
😋,6
ц,6
👋,6
𝚎,6
☣,6
𝐦,6
🧬,6
🙊,6
🔻,6
🧍,6
🌱,6
𝗖,6
𝐓,6
Л,6
💜,5
🧡,5
👈,5
🦆,5
🔝,5
🏥,5
🗓,5
💲,5
😩,5
☕,5
🥂,5
🌏,5
😖,5
𝗡,5
𝗿,5
😑,5
😆,5
🤓,5
С,5
😚,5
💁,5
🦳,5
🎉,5
👎,5
❓,5
🧪,5
🖋,5
☎,5
🔽,5
￼,5
😶,5
Р,5
𝐍,5
𝐭,5
҉,5
🔊,4
⏱,4
🐻,4
💊,4
📛,4
𝗜,4
𝗔,4
🇯,4
❕,4
😮,4
𝗲,4
𝘀,4
🙁,4
☀,4
😥,4
🧓,4
🙇,4
⭐,4
⚫,4
🐦,4
🩸,4
🤒,4
𝚊,4
🦅,4
💫,4
❝,4
❞,4
💃,4
ᵖ,4
ʳ,4
ˢ,4
ⁱ,4
ᵈ,4
ⁿ,4
ᵗ,4
🥼,4
🌐,4
🎶,4
🚦,4
☞,4
˚,4
О,4
П,4
🥁,3
💞,3
🚩,3
🥱,3
😫,3
😤,3
𝗺,3
🤜,3
💻,3
⛽,3
🧙,3
📷,3
𝚞,3
𝚗,3
💶,3
🚀,3
𝐞,3
𝐜,3
𝐒,3
🇿,3
☹,3
📉,3
🕺,3
🏛,3
🤥,3
→,3
💤,3
📊,3
🍔,3
📝,3
💵,3
🥚,3
💀,3
🏦,3
😐,3
📡,3
➖,3
🟣,2
🤰,2
▓,2
☺,2
🛃,2
🚑,2
✖,2
🚗,2
🤍,2
🟥,2
🟩,2
​,2
🛡,2
🔎,2
𝗘,2
😧,2
𝗱,2
𝗳,2
𝗰,2
́,2
🤛,2
🤟,2
👆,2
✝,2
🤙,2
🍃,2
📚,2
👮,2
🛩,2
💕,2
В,2
𝑠,2
𝑙,2
𝑖,2
𝑛,2
𝑎,2
💋,2
🌿,2
💖,2
😕,2
⏰,2
🤧,2
🤏,2
🌈,2
𝚚,2
𝚛,2
𝚌,2
𝚒,2
„,2
💅,2
☄,2
🤹,2
🙆,2
🗺,2
𝐝,2
𝐧,2
👑,2
📈,2
🔄,2
🎺,2
⚰,2
🐚,2
😜,2
🏴,2
😟,2
🠲,2
🩹,2
🐀,2
⚘,2
💗,2
⬅,2
🔜,2
‌,2
😞,2
🎯,2
👻,2
🌟,2
♦,2
⌛,2
🧶,2
🎄,2
👫,2
𝕣,2
𝕒,2
𝕍,2
𝕕,2
🦍,2
🌡,2
⛅,2
э,2
🏠,2
↪,2
⚔,2
𝗨,2
🏡,2
󠁧,2
🔛,2
ж,2
Ф,2
🐸,1
🤠,1
⚛,1
🎭,1
🔔,1
🐿,1
💡,1
👪,1
𝗗,1
𝗚,1
𝗧,1
🎂,1
💓,1
𝗙,1
𝘁,1
𝗹,1
🎓,1
🔰,1
📠,1
🕐,1
🍌,1
🌄,1
📱,1
👧,1
👦,1
🍐,1
М,1
ё,1
𝑜,1
𝑢,1
𝑐,1
⁄,1
🦶,1
🖊,1
❣,1
🐈,1
𝚘,1
𝚙,1
𝚡,1
𝚜,1
𝚝,1
𝚕,1
😨,1
💍,1
🖕,1
🌙,1
🌑,1
🌕,1
🤎,1
🤲,1
🧔,1
🧉,1
💆,1
🧘,1
🇶,1
𝐖,1
𝐱,1
𝐲,1
𝐟,1
𝐯,1
𝐮,1
𝐩,1
𝐡,1
𝐫,1
🏨,1
🚙,1
🎗,1
⚽,1
🥗,1
🐑,1
🦸,1
🔃,1
🌞,1
😵,1
🥶,1
📅,1
⌚,1
💳,1
👕,1
🥊,1
🐌,1
🥑,1
🖌,1
您,1
必,1
须,1
诚,1
实,1
，,1
不,1
参,1
与,1
腐,1
败,1
🐤,1
🙉,1
🟧,1
🟨,1
μ,1
›,1
🥲,1
🏚,1
🪚,1
💭,1
🚶,1
👳,1
😝,1
ツ,1
👹,1
🐭,1
♡,1
👄,1
🤚,1
😸,1
🦜,1
🔍,1
🐍,1
𝗣,1
𝘂,1
𝘇,1
🧭,1
🤕,1
📆,1
🕔,1
💨,1
🐒,1
🐁,1
🌊,1
🧼,1
🧴,1
📃,1
🔆,1
🐷,1
🤞,1
◀,1
🚚,1
🟡,1
🤑,1
⏳,1
📻,1
↘,1
𝐔,1
𝐄,1
𝐋,1
𝐏,1
𝐁,1
𝐎,1
𝐂,1
🎸,1
🦱,1
х,1
Д,1
Е,1
🦂,1
🟠,1
🪖,1
🍾,1
🌶,1
🍗,1
🍲,1
👭,1
👬,1
🕷,1
😛,1
≈,1
🍿,1
ℙ,1
𝕠,1
𝕃,1
𝕖,1
𝕋,1
🆚,1
🎈,1
💸,1
🚔,1
👶,1
🦾,1
☃,1
😺,1
🎅,1
🌃,1
🏸,1
🏓,1
🤸,1
⛹,1
🤾,1
🪳,1
🥒,1
χ,1
ρ,1
ό,1
щ,1
🎬,1
ᑕ,1
ᗝ,1
ѵ,1
ᓰ,1
ᖙ,1
📦,1
◡,1
🧫,1
🐾,1
𝗩,1
𝗠,1
𝗢,1
🛢,1
🌒,1
🪐,1
⛲,1
➗,1
😙,1
🡺,1
🌼,1
🐔,1
🎮,1
🚧,1
🍑,1
󠁢,1
󠁥,1
󠁮,1
󠁿,1
💯,1
🌺,1
📩,1
🖥,1
☭,1
🥃,1
🛰,1
🌀,1
⚒,1
🐱,1
